badge 徽章；证章；标记
badly 非常，很；严重地，厉害地；恶劣地
badminton 羽毛球
bag 袋；猎获物；（俚）一瓶啤酒
baggage 行李； 辎重（军队的）
bail 保释，保释人；保释金；杓
bait 饵；诱饵
bake 烤；烘烤食品
balance 平衡；余额；匀称
balcony 阳台；包厢；戏院楼厅
bald 秃顶的；光秃的；单调的；无装饰的
ball 球；舞会
ballet 芭蕾舞剧；芭蕾舞乐曲
balloon 气球
ballot 投票；投票用纸；投票总数
ban 禁令，禁忌
banana 香蕉；喜剧演员；大鹰钩鼻
band 带，环； 波段； 乐队
bandage 绷带
bang 刘海；重击；突然巨响
bank 银行；岸；浅滩；储库
bankrupt 破产者
banner 横幅图片的广告模式
banquet 宴会，盛宴；宴请，款待
bar 条，棒；酒吧；障碍；法庭
barbecue 烤肉；吃烤肉的野宴
barber 理发师
bark 树皮；深青棕色；毛皮；皮肤；狗叫
barren 荒地
barrier 障碍物，屏障；界线
base 基础；底部；垒
baseball 棒球；棒球运动
basement 地下室；地窖
basic 基础；要素
basin 水池；流域；盆地；盆
basis 基础；底部；主要成分；基本原则或原理
basket 篮子；（篮球比赛的）得分；一篮之量；篮筐
basketball 篮球；篮球运动
bat 蝙蝠；球棒；球拍；批处理文件的扩展名
batch 一批；一炉；一次所制之量
bath 沐浴；浴室；浴盆
bathe 洗澡；游泳
bathroom 浴室；厕所；盥洗室
be 是； 有，存在； 做，成为； 发生
beach 海滩；湖滨
bean 豆；嘴峰；毫无价值的东西
bearing 轴承；关系；方位；举止
beast 野兽；畜生，人面兽心的人
beat 拍子；敲击；有规律的一连串敲打
beautiful 美丽的
beauty 美；美丽；美人；美好的东西
because 因为
become 适合；相称
bed 床；基础；河底， 海底
bee 蜜蜂，蜂；勤劳的人
beef 牛肉；肌肉；食用牛；牢骚
beer 啤酒
before 在…之前，先于
beg 乞讨；请求
begin 开始；首先
beginning 开始；起点
behavior 行为，举止；态度；反应
behaviour 行为；习性；运行状况（=behavior）
behind 落后于；支持；晚于
being 存在；生命；本质；品格
belief 相信，信赖；信仰；教义
believe 信任；料想；笃信宗教
bell 铃，钟；钟声，铃声；钟状物
belly 腹部；胃；食欲
belong 属于，应归入；居住；适宜；应被放置
beloved 心爱的人；亲爱的教友
below 在…下面
belt 带；腰带；地带
bench 长凳；工作台；替补队员
benevolent 仁慈的；慈善的；亲切的
benign 良性的；和蔼的，亲切的；吉利的
beside 在旁边；与…相比；和…无关
besides 除…之外
best 最好的人，最好的事物；最佳状态
bet 打赌，赌注；被打赌的事物
better 长辈；较好者；打赌的人（等于bettor）
between 在…之间
beverage 饮料
beware 注意，当心；提防
bewilder 使迷惑，使不知所措
beyond 超过；越过；那一边；在...较远的一边
bibliography 参考书目；文献目录
bicycle 自行车
big 大的；重要的；量大的
bike 自行车；脚踏车
bill 法案；广告；账单； 票据；钞票；清单
billion 十亿
bin 箱子，容器；二进制
biography 传记；档案；个人简介
bird 鸟；家伙；羽毛球
birth 出生；血统，出身；起源
birthday 生日，诞辰；诞生的日子
biscuit 小点心，饼干
bit 比特（二进位制信息单位）；少量；马嚼子；辅币；老一套；一点，一块
bite 咬；一口；咬伤；刺痛
black 黑色；黑人；黑颜料
blackboard 黑板
blade 叶片；刀片，刀锋；剑
blanket 毛毯，毯子；毯状物，覆盖层
blast 爆炸；冲击波；一阵
blaze 火焰，烈火；光辉；情感爆发
bleed 使出血；榨取
blend 混合；掺合物
bless 祝福；保佑；赞美
blind 掩饰，借口；百叶窗
blog 博客；部落格；网络日志
blood 血，血液；血统
bloody 血腥的；非常的；嗜杀的，残忍的；血色的
bloom 花；青春；旺盛
blossom 花；开花期；兴旺期；花开的状态
blouse 宽松的上衣；女装衬衫
blue 蓝色的；沮丧的，忧郁的；下流的
blunt 钝的，不锋利的；生硬的；直率的
blush 脸红；红色；羞愧
board 董事会；木板；甲板；膳食
boat 小船；轮船
body 身体；主体；大量；团体；主要部分
boil 沸腾，煮沸；疖子
bolster 支持；长枕
bolt 螺栓，螺钉；闪电，雷电；门闩；弩箭;（布的）一匹，一卷
bomb 炸弹
bone 骨；骨骼
book 书籍；卷；帐簿；名册；工作簿
boot 靴子；踢；汽车行李箱
booth 货摊；公用电话亭
born 出世（bear的过去分词）
borrow 借；借用
boss 老板；首领；工头
botany 植物学；地区植物总称
both 既…且…
bottle 瓶子；一瓶的容量
bottom 底部；末端；臀部；尽头
bounce 跳；弹力；活力
boundary 边界；范围；分界线
bow 弓；鞠躬；船首
bowel 肠；内部；同情
bowl 碗；木球；大酒杯
bowling 滚木球戏；保龄球戏
box 箱，盒子；包厢；一拳
boy 男孩；男人
brace 支柱； 大括号；曲柄
brain 头脑，智力；脑袋
brandy 白兰地酒
brass 黄铜；黄铜制品；铜管乐器；厚脸皮
brave 勇士
breach 违背，违反；缺口
bread 面包；生计
break 打破；折断；弄坏；削弱
breakfast 早餐；早饭
breed 品种；种类，类型
breeze 微风；轻而易举的事；煤屑；焦炭渣；小风波
brevity 简洁，简短；短暂，短促
bribe 贿赂
brick 砖，砖块；砖形物；心肠好的人
bride 新娘；姑娘，女朋友
briefcase 公文包
brilliant 灿烂的，闪耀的；杰出的；有才气的；精彩的，绝妙的
bring 带来；促使；引起；使某人处于某种情况或境地
brisk 敏锐的，活泼的，轻快的；凛冽的
broadcast 广播；播音；广播节目
brochure 手册，小册子
bronze 青铜；古铜色；青铜制品
broom 扫帚；金雀花
brother 兄弟；同事；战友
brow 眉，眉毛；额；表情
brown 褐色，棕色
browse 浏览；吃草
bruise 擦伤；挫伤；青肿
brutal 残忍的；野蛮的，不讲理的
bucket 桶，水桶；铲斗；一桶的量
bud 芽，萌芽；蓓蕾
buffer 缓冲区；缓冲器， 减震器
buffet 自助餐；小卖部；打击；猛烈冲击
bug 臭虫，小虫；故障；窃听器
build 构造；体形；体格
bull 公牛；看好股市者；粗壮如牛的人；胡说八道；印玺
bullet 子弹；只选某党全部候选人的投票；豆子
bulletin 公告，公报
bully 欺凌弱小者；土霸
bump 肿块，隆起物；撞击
bundle 束；捆
burger 汉堡包
burglar 夜贼，窃贼
burn 灼伤，烧伤；烙印
bury 埋葬；隐藏
bus 公共汽车
bush 灌木；矮树丛
business 商业； 生意； 交易；事情
busy 忙碌的；热闹的；正被占用的
but 但是；而是；然而
butter 黄油；奶油；奉承话
butterfly 蝴蝶；蝶泳；举止轻浮的人；追求享乐的人
button 按钮；纽扣
buy 购买，买卖；所购的物品
buzz 嗡嗡声
by 通过；被；依据；经由；在附近；在……之前
cab 驾驶室；出租汽车；出租马车
cabbage 卷心菜，甘蓝菜，洋白菜；（俚)脑袋；（非正式、侮辱）植物人（常用于英式英语）；（俚）钱，尤指纸币（常用于美式俚语）
cabinet 内阁；橱柜；展览艺术品的小陈列室
cafe 咖啡馆；小餐馆
cafeteria 自助餐厅
café 
cage 笼，兽笼；牢房，监狱
cake 蛋糕；块状物；利益总额
calcium 钙
call 电话；呼叫；要求；访问
camel 骆驼；打捞浮筒；工作作风官僚
camera 照相机；摄影机
campus （大学）校园；大学，大学生活；校园内的草地
can 能； 能够； 可以； 可能
candle 蜡烛；烛光；烛形物
candy 糖果（等于sweets）；冰糖（等于sugar candy，rock candy）；毒品
cannon 大炮；加农炮；榴弹炮；机关炮
canoe 独木舟；轻舟
canvas 帆布
cap 盖；帽子
cape 海角，岬；披肩
capsule 胶囊； 蒴果；太空舱；小容器
car 汽车；车厢
carbohydrate 碳水化合物； 糖类
card 卡片；纸牌；明信片
cardinal 主要的，基本的；深红色的
care 关怀；照料；谨慎；忧虑
cargo 货物，船货
carpenter 木匠，木工
carriage 运输；运费；四轮马车；举止；客车厢
carrot 胡萝卜
cart 二轮运货马车
cartoon 卡通片， 动画片；连环漫画
case 情况；实例；箱
cash 现款，现金
cashier 出纳员；司库；收银员
cassette 盒式磁带；暗盒；珠宝箱；片匣
casualty 意外事故；伤亡人员；急诊室
cat 猫，猫科动物
catalog 目录；登记
catastrophe 大灾难；大祸；惨败
catch 捕捉；捕获物；窗钩
cathedral 大教堂
cattle 牛；牲畜（骂人的话）；家畜；无价值的人
cause 原因；事业；目标
cave 洞穴，窑洞
cease 停止
ceiling 天花板；上限
cell 细胞；电池；蜂房的巢室；单人小室
cellar 地窖；酒窖；地下室
celsius 摄氏度
cemetery 墓地；公墓
cent 分；一分的硬币；森特（等于半音程的百分之一）
center 中心，中央；中锋；中心点
centigrade 摄氏的； 摄氏温度的；百分度的
centimeter 厘米； 公分
centimetre 厘米；公分
century 世纪，百年；（板球）一百分
cereal 谷类，谷物；谷类食品；谷类植物
certify 证明；保证
chair 椅子；讲座；（会议的）主席位；大学教授的职位
chairperson 主席；议长
chairwoman 女主席；女议长
chalk 粉笔；白垩；用粉笔划的记号
champagne 香槟酒；香槟酒色
champion 冠军；拥护者；战士
change 变化；找回的零钱
characterise 是…的特征; 以…为特征; 描述（人或物）的特性; 描绘
charm 魅力，吸引力；魔力
chat 聊天；闲谈
cheap 便宜的；小气的；不值钱的
cheek 面颊，脸颊；臀部
cheese 奶酪；干酪；要人
chef 厨师，大师傅
cherish 珍爱
cherry 樱桃；樱桃树；如樱桃的鲜红色；处女膜，处女
chess 国际象棋，西洋棋
chest 胸，胸部；衣柜；箱子；金库
chew 咀嚼；咀嚼物
chicken 鸡肉；小鸡；胆小鬼，懦夫
chief 首领；酋长；主要部分
child 儿童，小孩，孩子；产物；子孙；幼稚的人；弟子
childhood 童年时期；幼年时代
chill 寒冷；寒意；寒心
chin 下巴；聊天；引体向上动作
china 
chocolate 巧克力，巧克力糖；巧克力色
choice 选择；选择权；精选品
choir 唱诗班；合唱队；舞蹈队
choke 窒息；噎； 阻气门
choose 选择，决定
chorus 合唱队；齐声；歌舞队
christ 基督；救世主
church 教堂；礼拜；教派
cigar 雪茄
cigaret 香烟；纸烟（等于cigarette）
cinema 电影；电影院；电影业，电影制作术
circle 循环，周期；圆；圈子；圆形物
circular 通知，传单
circulate 使循环；使流通；使传播
circus 马戏；马戏团
city 城市，都市
civilian 平民，百姓
civilisation （英）文明（等于civilization）
civilise 教化；文明化；使开化
civilize 使文明；教化；使开化
clap 鼓掌；拍手声
clarify 澄清；阐明
clash 冲突，不协调；碰撞声，铿锵声
clasp 扣子，钩子；握手
class 阶级；班级；种类；班；等级
classic 名著；经典著作；大艺术家
classmate 同班同学
classroom 教室
clause 条款； 子句
claw 爪；螯，钳；爪形器具
clay 粘土；泥土；肉体；似黏土的东西
clean 打扫
clear 清除；空隙
clergy 神职人员；牧师；僧侣
clever 聪明的；机灵的；熟练的
click 单击；滴答声
climate 气候；风气；思潮；风土
climax 高潮；顶点；层进法；极点
climb 爬；攀登
clinic 临床；诊所
clip 剪；修剪；剪下报刊上的文章（或新闻、图片等）；迅速行动；用别针别在某物上，用夹子夹在某物上
cloak 斗蓬；宽大外衣；托词
clock 时钟；计时器
clockwise 顺时针方向的
close 结束
closet 壁橱；议事室，密室；小房间
cloth 布；织物；桌布
clothe 给…穿衣；覆盖；赋予
clothes 衣服
clothing （总称） 服装；帆装
cloud 云；阴云；云状物；一大群；黑斑
cloudy 多云的；阴天的；愁容满面的
club 俱乐部，社团；夜总会；棍棒；（扑克牌中的）梅花
clumsy 笨拙的
cluster 群；簇；丛；串
clutch 离合器；控制；手；紧急关头
coal 煤；煤块；木炭
coarse 粗糙的；粗俗的；下等的
coat 外套
cock 公鸡；龙头；雄鸟；头目
code 代码，密码；编码；法典
coffee 咖啡；咖啡豆；咖啡色
cohesive 凝聚的；有结合力的；紧密结合的；有粘着力的
coin 硬币，钱币
coincide 一致，符合；同时发生
coke 可口可乐（等于Coca-Cola）
cold 寒冷；感冒
collar 衣领；颈圈
collect 收集；募捐
college 大学；学院；学会
collide 碰撞；抵触，冲突
collision 碰撞；冲突；（意见，看法）的抵触；（政党等的）倾轧
colonel 陆军上校
color 颜色；肤色；颜料；脸色
colour 颜色；风格；气色，面色；外貌
comb 梳子；蜂巢；鸡冠
come 来；开始；出现；发生；变成；到达
comedy 喜剧；喜剧性；有趣的事情
comet 彗星
commemorate 庆祝，纪念；成为…的纪念
commence 开始；着手；<英>获得学位
commend 推荐；称赞；把…委托
common 普通；平民；公有地
commonplace 老生常谈；司空见惯的事；普通的东西
communicate 通讯，传达；相通；交流；感染
communication 通讯， 通信；交流；信函
communism 共产主义
community 社区； 群落；共同体；团体
compact 合同，契约；小粉盒
company 公司；陪伴，同伴；连队
compare 相比，匹敌；比较，区别；比拟（常与to连用）
compartment 隔间；区划；卧车上的小客房
compass 指南针，罗盘；圆规
compassion 同情；怜悯
compatible 兼容的；能共处的；可并立的
compete 竞争；比赛；对抗
complain 投诉；发牢骚；诉说
complement 补语；余角；补足物
complete 完整的；完全的；彻底的
complicate 使复杂化；使恶化；使卷入
composite 复合材料；合成物；菊科
compute 计算；估计；推断
computer 计算机；电脑；电子计算机
comrade 同志；伙伴
concede 让步
concept 观念，概念
concern 关系；关心；关心的事；忧虑
concert 音乐会；一致；和谐
concurrent 共点；同时发生的事件
configuration 配置；结构；外形
conflict 冲突，矛盾；斗争；争执
congratulate 祝贺；恭喜；庆贺
congratulation 祝贺；贺辞
connect 连接；联合；关连
connexion 连接，联系（等于connection）
conquest 征服，战胜；战利品
conscientious 认真的；尽责的；本着良心的；小心谨慎的
consecutive 连贯的；连续不断的
consider 考虑；认为；细想
console 控制台； 操纵台
conspiracy 阴谋；共谋；阴谋集团
consult 请教；商议；当顾问
contagious 感染性的；会蔓延的
contaminate 污染，弄脏
contingent 分遣队；偶然事件；分得部分；代表团
continue 继续说…；使…继续；使…延长
contract 合同；婚约
contrary 相反；反面
contrive 设计；发明；图谋
control 控制；管理；抑制；操纵装置
convene 召集，集合；传唤
conversation 交谈，会话；社交；交往，交际；会谈；（人与计算机的）人机对话
conversion 转换；变换； 兑换；改变信仰
convict 罪犯
cook 厨师，厨子
cool 凉爽；凉爽的空气
cop 巡警，警官
copy 副本；一册；摹仿
copyright 版权，著作权
cord 绳索；束缚
cordial 补品；兴奋剂；甜香酒，甘露酒
corn （美）玉米；（英）谷物； 鸡眼
corner 角落，拐角处；地区，偏僻处；困境，窘境
coronavirus 冠状病毒；日冕形病毒
correct 正确的；恰当的；端正的
corrode 侵蚀；损害
cost 费用，代价，成本；损失
costly 昂贵的；代价高的
costume 服装，装束；戏装，剧装
cottage 小屋；村舍；（农舍式的）小别墅
cotton 棉花；棉布；棉线
couch 使躺下；表达；弯下
cough 咳嗽，咳嗽声；咳嗽病
could 能够
count 计数；计算；伯爵
country 国家，国土；国民；乡下，农村；乡村；故乡
couple 对；夫妇；数个
coupon 息票；赠券；联票； 配给券
courage 勇气；胆量
course 科目；课程；过程；进程；道路；路线，航向；一道菜
courtyard 庭院，院子；天井
cousin 堂兄弟姊妹；表兄弟姊妹
cover 封面，封皮；盖子；掩蔽物;幌子，借口
cow 奶牛，母牛；母兽
cozy 保温罩
crab 螃蟹；蟹肉；脾气乖戾的人；起重机
cradle 摇篮；发源地；发祥地；支船架
crane 吊车，起重机；鹤
crazy 疯狂的；狂热的，着迷的
create 创造，创作；造成
credentials 证书；文凭；信任状（credential的复数）
crew 队，组；全体人员，全体船员
crime 罪行，犯罪；罪恶；犯罪活动
crisis 危机；危险期；决定性时刻
criterion （批评判断的）标准；准则；规范；准据
criticise 批评；吹毛求疵；非难
cross 交叉，十字；十字架，十字形物
